channel_name,title,description,views,likes,comments,content,content_similarity,engagement_rate,engagement_score,final_score
Shiv Wilson,cardio and workout routine to lose fat and build muscle gym fitness wilsoncoaching,nan,176115,17393,124,cardio and workout routine to lose fat and build muscle gym fitness wilsoncoaching nan,0.5478907,0.09946341878885956,0.753788161162674,0.6096599423540054
Jeff Nippard,my new sciencebased full body workout for pure bodybuilding,check out my full 10week pure bodybuilding program 20 off for launch week  this video shows one ,8379478,387064,1142,my new sciencebased full body workout for pure bodybuilding check out my full 10week pure bodybuilding program 20 off for launch week  this video shows one ,0.57935655,0.046328184166125864,0.3511003057990717,0.5108796775589659
OmarHybrid,intense full body workout  barbell workout fitness barbell fullbodyworkout workout gym core,nan,155772,4111,15,intense full body workout  barbell workout fitness barbell fullbodyworkout workout gym core nan,0.6132911,0.02648743034691729,0.20073622702946425,0.4895246334057753
okaymohit,week 1 vs week 172 of my body transformation gym motivation fitness,nan,6900400,303177,1158,week 1 vs week 172 of my body transformation gym motivation fitness nan,0.50797707,0.04410396498753696,0.3342439569517599,0.4558571230615564
Shibir_desi_Fitness_0,full chest workout in home  try this motivation workout gym desi fitness shorts trending,nan,9208022,289497,1330,full chest workout in home  try this motivation workout gym desi fitness shorts trending nan,0.5353725,0.03158409048110441,0.2393615037130998,0.44656919806980155
SIDDHARTH ,5 tips for your health life style fitness gymmotivation brahmacharya fitnessdiet,nan,13401872,552370,564,5 tips for your health life style fitness gymmotivation brahmacharya fitnessdiet nan,0.5014889,0.04125796754363868,0.3126754325029498,0.44484487060896294
Adolfo,best back workout to hit every muscle,back day at alphaland gym shorts gymworkout gym,3704930,74421,128,best back workout to hit every muscle back day at alphaland gym shorts gymworkout gym,0.56998634,0.020121567748918334,0.15249224024125488,0.44473809455963537
ARM'S STRONG FITNESS,upper body workout at home for male39s fitness shorts exercise workoutathome beginners male,business quarry ggym43878gmailcom,19838091,589696,1174,upper body workout at home for male39s fitness shorts exercise workoutathome beginners male business quarry ggym43878gmailcom,0.52442056,0.029784619901179,0.22572413194340724,0.434811637127883
Vikki Power,my dumbbell only shoulder workout save amp try it  shoulder workout upperbody women gymlover,nan,933321,10611,22,my dumbbell only shoulder workout save amp try it  shoulder workout upperbody women gymlover nan,0.57110333,0.011392650545739354,0.08633973384598424,0.42567423637121776
Justin Agustin,beginner light dumbbell workout,fulllength beginner workout videos at  and the justin agustin fitness app available on in the apple ,1075889,39637,106,beginner light dumbbell workout fulllength beginner workout videos at  and the justin agustin fitness app available on in the apple ,0.48562682,0.03693968429828728,0.2799491213975286,0.42392349622303055
