channel_name,title,description,views,likes,comments
Magsi Shorts,Best Smart Security Gadgets For Home,"Upgrade your home and organize your space effortlessly with these must-have smart gadgets! Whether it's your kitchen, living ...",1154112,4708,8
TECH WITH AR,🔥Top Best Useful Gadgets In The World | Amazon Gadgets #gadgets,Top Best Useful Gadgets In The World | Amazon Gadgets #gadgets Educational painting robot buy link : https://amzn.to/4dNrsuA ...,14817184,799483,568
Justice Buys,15 Tech Gadgets I Use Every Day #shorts #justicebuys #tech,,19791533,628698,2613
TECH WITH AR,🔥Top Best Useful student Gadgets In The World | Amazon Gadgets #gadgets,Top Best Useful Gadgets In The World | Amazon Gadgets #gadgets.,3396857,180074,215
Mrwhosetheboss,5-Star Phone gadgets TESTED,,5923776,213784,756
Mrwhosetheboss,6 Most CURSED Gadgets!,shorts #tech #gadgets #cursed.,5588694,247383,733
Home Gizmos Daily,cool gadgets you can buy #gadgets #shorts #youtubeshorts,Welcome to Electric Gadgets & Products. Discover the latest in innovative electrical and non-electrical gadgets for your home.,1674415,14032,127
v3 facts ,Top 3 Smartphone gadgets under ₹50||🔥🤯 #shorts #gadgets #viralvideo #ytshorts,Top 3 Smartphone gadgets under ₹50||     #shorts #gadgets #viralvideo #ytshorts top 3 unique gadgets cool unique gadgets ...,4157335,0,30564
Tool Items,Tool Items - Luminous Car Valve Caps,,185665137,2007517,2412
Sillycorns,This ₹145 Gadget from Amazon is ESSENTIAL!,We got this super useful suction gadget aka sticky mount pad from Amazon for ₹145 and this makes your phone stick almost ...,3826213,64200,342
MostTechy Shorts,3 Super Unique Gadgets! #shorts,,21842091,751177,511
TECH WITH AR,🔥Top Best Useful Car Gadgets In The World | Amazon Gadgets #gadgets,Top Best Useful Car Gadgets In The World | Amazon Gadgets #gadgets No1 car GPS tracker similar product available price ₹800 ...,4978501,349243,125
v1 Gadgets,Top 3 Genius School Gadgets for Students 📚🤯 | #gadgets #shorts,Top 3 Genius School Gadgets for Students | #gadgets #shorts.,6460968,0,0
Gohar Khan,College Tech Essentials,,11357069,394794,2026
TechWiser,The Most Futuristic Tech Of 2025.....,"Dive into the future with us at MWC Barcelona! We've uncovered tech that'll blow your mind, from earbuds that redefine audio to a ...",1062002,64397,197
Mrwhosetheboss,UNREAL Optical Illusion Gadgets,"shorts #tech #gadgets #opticalillusion I spend a LOT of time trying to make my videos as concise, polished and useful as possible ...",26743851,1270698,2158
Mrwhosetheboss,This Gadget BRICKS Your Phone!,shorts #tech #gadgets #socialmedia.,11359773,554233,5288
Domingo Gomes,5 Gadgets Tech Buenos &amp; Baratos,En este video te muestro 5 Gadgets Tech que te pueden gustar: 1. Ventosa con Magsafe 2. Mini-Turbo-Jet 3. Mcbazel Teclado ...,774401,48003,198
Tech With AK,Top 3 Gadgets that can be useful in your life! 🔥🤯 #tech2025 #gadgets,Top 3 Gadgets that can be useful in your life! #tech2025 #gadgets #MindBlowingGadgets #CrazyTech #GadgetInventions ...,10240015,0,318
v1 Gadgets,Top 3 Smart Gadgets for School Students 🔥📱 | #gadgets #shorts,Top 3 Smart Gadgets for School Students | #gadgets #shorts.,780222,0,0
